"","low","est","high","ID","type","metric"
"speed (kilometers/day)297",35.309658093352,37.7640253158528,40.21626253551,"BW0522015Snow","OUF isotropic","speed (kilometers/day)297"
"area (square kilometers)325",754.087868608114,914.740471860389,1090.67531228753,"BW0522016SnowFree","OUF anisotropic","area (square kilometers)325"
"t[position] (days)273",1.15533938042583,1.45650004074193,1.83616381872082,"BW0522016SnowFree","OUF anisotropic","t[position] (days)273"
"t[velocity] (hours)223",0.910848835654205,1.09030178820449,1.30511007186839,"BW0522016SnowFree","OUF anisotropic","t[velocity] (hours)223"
"speed (kilometers/day)298",36.6952381292039,38.5978568982569,40.4992074423197,"BW0522016SnowFree","OUF anisotropic","speed (kilometers/day)298"
"area (square kilometers)326",668.162282063334,1540.58825018216,2771.16830407746,"BW0522016Snow","OUF anisotropic","area (square kilometers)326"
"t[position] (days)274",0.554536034265836,2.16671013575457,8.46587511413383,"BW0522016Snow","OUF anisotropic","t[position] (days)274"
"t[velocity] (hours)224",1.10472113819135,1.63809412860664,2.42898617706252,"BW0522016Snow","OUF anisotropic","t[velocity] (hours)224"
"speed (kilometers/day)299",30.7540137904516,33.6897044174549,36.6220603706485,"BW0522016Snow","OUF anisotropic","speed (kilometers/day)299"
"area (square kilometers)327",2138.82001791031,7559.36499147128,16339.1702291656,"BW0532015Snow","OUF anisotropic","area (square kilometers)327"
"t[position] (days)275",0.262237933915332,11.0712681927835,467.411322101531,"BW0532015Snow","OUF anisotropic","t[position] (days)275"
"t[velocity] (hours)225",1.57013361099379,1.88403721811545,2.26069693329954,"BW0532015Snow","OUF anisotropic","t[velocity] (hours)225"
"speed (kilometers/day)300",29.4209495877803,30.8662777313858,32.3106891787276,"BW0532015Snow","OUF anisotropic","speed (kilometers/day)300"
"area (square kilometers)328",3266.61055878984,4922.24110928487,6911.8959307402,"BW0532016SnowFree","OUF anisotropic","area (square kilometers)328"
"t[position] (days)276",3.67707045120634,5.94821926142276,9.62214699213964,"BW0532016SnowFree","OUF anisotropic","t[position] (days)276"
"t[velocity] (hours)226",1.54749554840115,1.73424064967442,1.94352134588725,"BW0532016SnowFree","OUF anisotropic","t[velocity] (hours)226"
"speed (kilometers/day)301",33.959722273191,35.0065451104926,36.0529400720584,"BW0532016SnowFree","OUF anisotropic","speed (kilometers/day)301"
"area (square kilometers)329",3464.60965189297,5796.57620490449,8718.88495735593,"BW0532016Snow","OUF anisotropic","area (square kilometers)329"
"t[position] (days)277",4.8464490575494,9.02544965886586,16.8079227858244,"BW0532016Snow","OUF anisotropic","t[position] (days)277"
"t[velocity] (hours)227",1.42918032937502,1.59955767139777,1.79024626321742,"BW0532016Snow","OUF anisotropic","t[velocity] (hours)227"
"speed (kilometers/day)302",31.1525095961884,32.0915012862144,33.0301173378147,"BW0532016Snow","OUF anisotropic","speed (kilometers/day)302"
"area (square kilometers)330",837.353445689956,2146.07481061487,4059.91641440703,"BW0532017SnowFree","OUF anisotropic","area (square kilometers)330"
"t[position] (days)278",0.317384495993845,1.80254063546527,10.2372761855593,"BW0532017SnowFree","OUF anisotropic","t[position] (days)278"
"t[velocity] (hours)228",1.38950850669406,2.2303412340466,3.57998673367155,"BW0532017SnowFree","OUF anisotropic","t[velocity] (hours)228"
"speed (kilometers/day)303",33.8356765903824,37.6714629083915,41.5022600625933,"BW0532017SnowFree","OUF anisotropic","speed (kilometers/day)303"
"area (square kilometers)331",651.995069239019,2008.74656061469,4115.16686409969,"137912013Snow","OUF anisotropic","area (square kilometers)331"
"t[position] (days)279",0.0533888564579144,4.28337101434493,343.653497448354,"137912013Snow","OUF anisotropic","t[position] (days)279"
"t[velocity] (hours)229",0.359874940793473,1.28531397232127,4.5905725022192,"137912013Snow","OUF anisotropic","t[velocity] (hours)229"
"speed (kilometers/day)304",28.6994412897908,42.4150265740399,56.1153475428447,"137912013Snow","OUF anisotropic","speed (kilometers/day)304"
"area (square kilometers)332",768.803808815895,1541.17469886404,2577.6135462987,"137902013Snow","OUF isotropic","area (square kilometers)332"
"t[position] (days)280",1.87248336735786,4.83961756879719,12.5084679631945,"137902013Snow","OUF isotropic","t[position] (days)280"
"t[velocity] (hours)230",1.13430056458849,1.45255400441359,1.86010057793052,"137902013Snow","OUF isotropic","t[velocity] (hours)230"
"speed (kilometers/day)305",22.1173632704221,23.6446810183691,25.1706809261433,"137902013Snow","OUF isotropic","speed (kilometers/day)305"
"area (square kilometers)333",53.8464819084779,74.2993982028939,97.993781552036,"137932013Snow","OU anisotropic","area (square kilometers)333"
"t[position] (hours)28",8.14214016430238,13.5234845110343,22.4614941071644,"137932013Snow","OU anisotropic","t[position] (hours)28"
"area (square kilometers)334",227.990261499584,344.169727022664,483.892392206059,"137922013Snow","OUF anisotropic","area (square kilometers)334"
