"","ID","name","Esttype","SA","type","est","ExtraTerr","EVIMean","LFD"
"113","BW0142013Snow","BW0142013Snow 95% est","est","BC","OU anisotropic",1558.78989707666,0,1637.46610986187,0.100989869677715
"114","BW0142013SnowFree","BW0142013SnowFree 95% est","est","BC","OUF anisotropic",753.207775940031,0,1634.32726104418,0.102140200348623
"115","BW0142014Snow","BW0142014Snow 95% est","est","BC","OUF anisotropic",4383.87633577386,0,1768.23462965951,0.11129022196556
"116","BW0142014SnowFree","BW0142014SnowFree 95% est","est","BC","OUF isotropic",1405.22531390859,0,1917.22850671464,0.0999411187674049
"117","BW0152013SnowFree","BW0152013SnowFree 95% est","est","BC","OUF isotropic",10580.446808896,0,1649.79230522088,0.0661695855702448
"118","BW0162013SnowFree","BW0162013SnowFree 95% est","est","BC","OUF anisotropic",561.803814976509,0,1688.87623475659,0.241404944803806
"119","BW0172013Snow","BW0172013Snow 95% est","est","BC","OU anisotropic",1215.69418866122,0,1584.70973716421,0.554505979009437
"120","BW0172013SnowFree","BW0172013SnowFree 95% est","est","BC","OUF isotropic",1040.74874402866,0,1560.64163394064,0.559300118184256
"121","BW0182013SnowFree","BW0182013SnowFree 95% est","est","BC","OUF isotropic",1110.91269718313,0,1560.67891060104,0.559224247421965
"122","BW0192013Snow","BW0192013Snow 95% est","est","BC","OU anisotropic",2026.63665613041,0,1463.35446408521,0.161740317810907
"123","BW0192013SnowFree","BW0192013SnowFree 95% est","est","BC","OUF anisotropic",388.723101041186,0,1498.55328396652,0.216202544465626
"124","BW0192014SnowFree","BW0192014SnowFree 95% est","est","BC","OUF anisotropic",741.883188278729,0,1244.40204701743,0.129798846707615
"125","BW0212013Snow","BW0212013Snow 95% est","est","BC","OUF anisotropic",983.226939304568,0,1553.88773612136,0.498669505341648
"126","BW0212013SnowFree","BW0212013SnowFree 95% est","est","BC","OUF anisotropic",449.589537839547,0,1582.78172629552,0.48392694504629
"127","BW0212014SnowFree","BW0212014SnowFree 95% est","est","BC","OUF anisotropic",984.375843842082,0,1670.84510283562,0.435953625790988
"128","BW0242013Snow","BW0242013Snow 95% est","est","BC","OUF anisotropic",1727.13710807832,0,1499.87390389905,0.526374340971221
